Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
China,Shouguang,2014,78,117,7.187588,9.689675,0.52,0.468,0.7187588,0.6207436425135608,56.950048850271216,High Risk
China,Zhengzhou,2016,78,143,6.9428844,11.113145,0.52,0.572,0.69428844,0.565012848682329,57.426025773646586,High Risk
China,Luohe,2016,77,130,6.9428844,11.113145,0.5133333333333333,0.52,0.69428844,0.565012848682329,56.119359106979914,High Risk
China,Shangqiu,2016,77,127,6.9428844,11.113145,0.5133333333333333,0.508,0.69428844,0.565012848682329,55.87935910697992,High Risk
China,Weinan,2016,76,139,6.9428844,11.113145,0.5066666666666667,0.556,0.69428844,0.565012848682329,56.572692440313254,High Risk
China,Pingdingshan,2016,75,125,6.9428844,11.113145,0.5,0.5,0.69428844,0.565012848682329,55.186025773646584,High Risk
Saudi Arabia,Yanbu,2017,75,116,20.936852,0.005488546,0.5,0.464,1.0,0.9998927631069575,69.27785526213916,High Risk
China,Linfen,2016,74,158,6.9428844,11.113145,0.49333333333333335,0.632,0.69428844,0.565012848682329,57.559359106979926,High Risk
China,Tangshan,2016,74,127,6.9428844,11.113145,0.49333333333333335,0.508,0.69428844,0.565012848682329,55.07935910697992,High Risk
China,Urumqi,2016,74,115,6.9428844,11.113145,0.49333333333333335,0.46,0.69428844,0.565012848682329,54.11935910697993,High Risk
India,Kolkata,2016,74,136,1.7504745,6.369765,0.49333333333333335,0.544,0.17504745,0.7507226513779872,49.12873536089308,Moderate Risk
China,Beijing,2016,73,92,6.9428844,11.113145,0.4866666666666667,0.368,0.69428844,0.565012848682329,52.012692440313245,High Risk
China,Hebi,2016,73,128,6.9428844,11.113145,0.4866666666666667,0.512,0.69428844,0.565012848682329,54.892692440313255,High Risk
China,Jinan,2016,73,141,6.9428844,11.113145,0.4866666666666667,0.564,0.69428844,0.565012848682329,55.93269244031325,High Risk
China,Laiwu,2016,73,127,6.9428844,11.113145,0.4866666666666667,0.508,0.69428844,0.565012848682329,54.81269244031325,High Risk
China,Zigong,2016,73,99,6.9428844,11.113145,0.4866666666666667,0.396,0.69428844,0.565012848682329,52.572692440313254,High Risk
Saudi Arabia,Riyadh,2016,73,251,20.873049,0.0036253089,0.4866666666666667,1.0,1.0,0.9999657113831268,79.4659808943292,Very High Risk
China,Anshan,2015,72,115,7.0609546,10.27758,0.48,0.46,0.70609546,0.5977263591515298,54.4764363830306,High Risk
China,Kaifeng,2016,72,122,6.9428844,11.113145,0.48,0.488,0.69428844,0.565012848682329,54.14602577364659,High Risk
China,Xi'an,2016,71,137,6.9428844,11.113145,0.47333333333333333,0.548,0.69428844,0.565012848682329,55.07935910697992,High Risk
China,Binzhou,2016,70,123,6.9428844,11.113145,0.4666666666666667,0.492,0.69428844,0.565012848682329,53.69269244031325,High Risk
China,Yangquan,2014,70,105,7.187588,9.689675,0.4666666666666667,0.42,0.7187588,0.6207436425135608,53.85671551693788,High Risk
China,Cangzhou,2016,69,147,6.9428844,11.113145,0.46,0.588,0.69428844,0.565012848682329,55.34602577364659,High Risk
China,Puyang,2016,69,137,6.9428844,11.113145,0.46,0.548,0.69428844,0.565012848682329,54.54602577364659,High Risk
China,Tianjin,2016,69,103,6.9428844,11.113145,0.46,0.412,0.69428844,0.565012848682329,51.82602577364659,High Risk
China,Jiangyin,2014,68,102,7.187588,9.689675,0.4533333333333333,0.408,0.7187588,0.6207436425135608,53.083382183604556,High Risk
China,Weinan,2014,68,102,7.187588,9.689675,0.4533333333333333,0.408,0.7187588,0.6207436425135608,53.083382183604556,High Risk
China,Xuchang,2016,68,122,6.9428844,11.113145,0.4533333333333333,0.488,0.69428844,0.565012848682329,53.079359106979915,High Risk
China,Zhoukou,2016,68,113,6.9428844,11.113145,0.4533333333333333,0.452,0.69428844,0.565012848682329,52.359359106979916,High Risk
China,Zhumadian,2016,68,120,6.9428844,11.113145,0.4533333333333333,0.48,0.69428844,0.565012848682329,52.91935910697991,High Risk
Pakistan,Lahore,2010,68,198,0.7403367,10.435932,0.4533333333333333,0.792,0.07403367,0.5915266621682683,47.284539976698696,Moderate Risk
Chile,Comuna De Coyhaique,2016,67,85,4.6121125,19.341196,0.44666666666666666,0.34,0.46121125,0.2428734190393712,38.74836004745409,Moderate Risk
China,Changzhi,2014,67,101,7.187588,9.689675,0.44666666666666666,0.404,0.7187588,0.6207436425135608,52.736715516937885,High Risk
Bangladesh,Chittagong,2015,66,91,0.48277447,0.7931762,0.44,0.364,0.048277447,0.9690537160961454,45.22662326192291,Moderate Risk
China,Langfang,2016,66,112,6.9428844,11.113145,0.44,0.448,0.69428844,0.565012848682329,51.746025773646586,High Risk
China,Sanmenxia,2016,66,127,6.9428844,11.113145,0.44,0.508,0.69428844,0.565012848682329,52.94602577364659,High Risk
China,Taiyuan,2016,66,125,6.9428844,11.113145,0.44,0.5,0.69428844,0.565012848682329,52.786025773646585,High Risk
Iran,Hamedan,2013,66,149,7.5856357,1.4233078,0.44,0.596,0.75856357,0.9443832036960638,63.57893547392127,High Risk
Pakistan,Islamabad,2011,66,217,0.7336991,10.6061125,0.44,0.868,0.07336991000000001,0.5848638632616556,48.12467546523312,Moderate Risk
India,Ahmedabad,2015,65,120,1.6805544,6.3568044,0.43333333333333335,0.48,0.16805544,0.7512300765618893,45.319043664571126,Moderate Risk
Chile,Coyhaique,2014,64,75,4.3431134,19.519339,0.4266666666666667,0.3,0.43431134,0.23589887738729776,36.47087101441262,Moderate Risk
China,Jurong,2014,64,97,7.187588,9.689675,0.4266666666666667,0.388,0.7187588,0.6207436425135608,51.61671551693788,High Risk
China,Luzhou,2016,64,87,6.9428844,11.113145,0.4266666666666667,0.348,0.69428844,0.565012848682329,49.212692440313255,Moderate Risk
China,Xiangyang,2016,64,93,6.9428844,11.113145,0.4266666666666667,0.372,0.69428844,0.565012848682329,49.69269244031326,Moderate Risk
India,Mumbai,2016,64,104,1.7504745,6.369765,0.4266666666666667,0.416,0.17504745,0.7507226513779872,43.902068694226415,Moderate Risk
China,Chengdu,2016,63,105,6.9428844,11.113145,0.42,0.42,0.69428844,0.565012848682329,50.38602577364658,High Risk
China,Leshan,2016,63,93,6.9428844,11.113145,0.42,0.372,0.69428844,0.565012848682329,49.426025773646586,Moderate Risk
China,Nanyang,2016,63,119,6.9428844,11.113145,0.42,0.476,0.69428844,0.565012848682329,51.50602577364658,High Risk
China,Tai'an,2016,63,112,6.9428844,11.113145,0.42,0.448,0.69428844,0.565012848682329,50.94602577364659,High Risk
China,Xining,2014,63,120,7.187588,9.689675,0.42,0.48,0.7187588,0.6207436425135608,53.19004885027122,High Risk
China,Jincheng,2016,62,111,6.9428844,11.113145,0.41333333333333333,0.444,0.69428844,0.565012848682329,50.59935910697991,High Risk
China,Jinzhong,2016,62,109,6.9428844,11.113145,0.41333333333333333,0.436,0.69428844,0.565012848682329,50.43935910697992,High Risk
China,Yichang,2016,62,97,6.9428844,11.113145,0.41333333333333333,0.388,0.69428844,0.565012848682329,49.47935910697991,Moderate Risk
Bangladesh,Sylhet,2015,61,111,0.48277447,0.7931762,0.4066666666666667,0.444,0.048277447,0.9690537160961454,45.493289928589576,Moderate Risk
Iran,Qods,2016,61,140,7.6919622,1.3443363,0.4066666666666667,0.56,0.76919622,0.9474750457335097,61.80009198133687,High Risk
China,Ezhou,2016,60,100,6.9428844,11.113145,0.4,0.4,0.69428844,0.565012848682329,49.18602577364659,Moderate Risk
China,Fuyang,2014,60,90,7.187588,9.689675,0.4,0.36,0.7187588,0.6207436425135608,49.99004885027122,Moderate Risk
China,Jingzhou,2016,60,100,6.9428844,11.113145,0.4,0.4,0.69428844,0.565012848682329,49.18602577364659,Moderate Risk
