Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category,latitude,longitude
India,Kanpur,2016,173,319,1.7504745,6.369765,1.0,1.0,0.17504745,0.7507226513779872,78.51540202755976,Very High Risk,26.4609135,80.3217588
India,Faridabad,2016,172,316,1.7504745,6.369765,1.0,1.0,0.17504745,0.7507226513779872,78.51540202755976,Very High Risk,28.4031478,77.3105561
India,Gaya,2016,149,275,1.7504745,6.369765,0.9933333333333332,1.0,0.17504745,0.7507226513779872,78.24873536089308,Very High Risk,24.7964355,85.0079563
India,Varanasi,2016,146,260,1.7504745,6.369765,0.9733333333333334,1.0,0.17504745,0.7507226513779872,77.44873536089308,Very High Risk,25.3356491,83.0076292
India,Patna,2016,144,266,1.7504745,6.369765,0.96,1.0,0.17504745,0.7507226513779872,76.91540202755975,Very High Risk,25.6093239,85.1235252
India,Delhi,2016,143,292,1.7504745,6.369765,0.9533333333333334,1.0,0.17504745,0.7507226513779872,76.64873536089308,Very High Risk,28.6138954,77.2090057
India,Lucknow,2016,138,255,1.7504745,6.369765,0.92,1.0,0.17504745,0.7507226513779872,75.31540202755976,Very High Risk,26.8381,80.9346001
India,Agra,2016,131,194,1.7504745,6.369765,0.8733333333333333,0.776,0.17504745,0.7507226513779872,68.96873536089308,High Risk,27.1752554,78.0098161
India,Gurgaon,2016,120,124,1.7504745,6.369765,0.8,0.496,0.17504745,0.7507226513779872,60.43540202755975,High Risk,28.4646148,77.0299194
India,Muzaffarpur,2016,120,221,1.7504745,6.369765,0.8,0.884,0.17504745,0.7507226513779872,68.19540202755977,High Risk,26.1482548,85.3316097
Pakistan,Peshawar,2010,111,540,0.7403367,10.435932,0.74,1.0,0.07403367,0.5915266621682683,62.91120664336537,High Risk,34.0123846,71.5787458
Pakistan,Rawalpindi,2010,107,448,0.7403367,10.435932,0.7133333333333334,1.0,0.07403367,0.5915266621682683,61.84453997669871,High Risk,33.5915446,73.053721
India,Jaipur,2016,105,193,1.7504745,6.369765,0.7,0.772,0.17504745,0.7507226513779872,61.95540202755975,High Risk,26.9154576,75.8189817
India,Patiala,2016,101,184,1.7504745,6.369765,0.6733333333333333,0.736,0.17504745,0.7507226513779872,60.16873536089308,High Risk,30.2092778,76.3397231
India,Jodhpur,2016,98,180,1.7504745,6.369765,0.6533333333333333,0.72,0.17504745,0.7507226513779872,59.04873536089308,High Risk,26.2967719,73.0351433
Bangladesh,Narayanganj,2015,94,205,0.48277447,0.7931762,0.6266666666666667,0.82,0.048277447,0.9690537160961454,61.81328992858959,High Risk,23.6236732,90.4988075
China,Baoding,2016,93,147,6.9428844,11.113145,0.62,0.588,0.69428844,0.565012848682329,61.746025773646586,High Risk,38.8579735,115.490696
Qatar,Doha,2012,93,168,49.15157,0.007277364,0.62,0.672,1.0,0.9998227284401506,78.23645456880301,Very High Risk,25.3108807,51.5081812
China,Jinan,2014,90,192,7.187588,9.689675,0.6,0.768,0.7187588,0.6207436425135608,66.15004885027122,High Risk,36.6519754,117.1138479
China,Jinan,2014,90,192,7.187588,9.689675,0.6,0.768,0.7187588,0.6207436425135608,66.15004885027122,High Risk,36.6519754,117.1138479
China,Shijiazhuang,2015,89,147,7.0609546,10.27758,0.5933333333333334,0.588,0.70609546,0.5977263591515298,61.56976971636393,High Risk,38.0429742,114.5088385
Pakistan,Karachi,2009,88,290,0.76323503,10.193737,0.5866666666666667,1.0,0.076323503,0.6010089270645818,57.01331526795831,High Risk,24.8546842,67.0207055
China,Hengshui,2016,87,143,6.9428844,11.113145,0.58,0.572,0.69428844,0.565012848682329,59.826025773646585,High Risk,37.7364305,115.6677229
